State,District,Soil Type,Crop Type,Best Time of Harvest,Crop_Yield_ton,Temperature_C,Rainfall_mm,Suitable Fertilizer,Suitable Pesticide,Irrigation Method,Next Crop
Karnataka,Bangalore,Sandy,Pulses,December-January,5.9098,17.3,908.8,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Uttar Pradesh,Lucknow,Loamy,Wheat,September-October,5.231,22.5,1097.5,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Rajasthan,Kota,Alluvial,Wheat,September-October,5.231,37.3,139.5,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Karnataka,Mysore,Black,Coffee,September-October,5.9098,27.4,1160.9,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
West Bengal,Siliguri,Sandy,Jowar,October-November,5.9098,21.9,833.2,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
Gujarat,Surat,Laterite,Sugarcane,March-April,5.9098,12.1,700.1,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Madhya Pradesh,Indore,Red,Rice,December-January,6.6054,33.7,893.2,DAP,Carbendazim,Terrace Farming,Pulses
Madhya Pradesh,Bhopal,Black,Bajra,March-April,5.9098,27.4,850.6,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Karnataka,Hubli,Laterite,Sugarcane,December-January,5.9098,17.9,1309.0,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Rajasthan,Jaipur,Red,Pulses,August-September,5.9098,36.1,412.2,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Punjab,Patiala,Red,Cotton,October-November,5.9098,39.8,305.6,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
Maharashtra,Nagpur,Red,Coffee,March-April,5.9098,24.5,1106.0,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Cotton
Rajasthan,Kota,Black,Sugarcane,September-October,5.9098,41.9,231.3,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
Rajasthan,Udaipur,Loamy,Rice,December-January,6.6054,22.5,304.0,DAP,Carbendazim,Terrace Farming,Barley
West Bengal,Kolkata,Black,Pulses,October-November,5.9098,22.9,1148.1,Bio-fertilizer,Mancozeb,Traditional Method,Wheat
West Bengal,Siliguri,Laterite,Pulses,December-January,5.9098,31.8,936.5,Bio-fertilizer,Mancozeb,Traditional Method,Mixed Vegetables
Punjab,Patiala,Sandy,Maize,August-September,5.9098,22.3,336.9,NPK,Cypermethrin,Sprinkler Irrigation,Bajra
Maharashtra,Mumbai,Laterite,Bajra,March-April,5.9098,24.5,860.9,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Mixed Vegetables
West Bengal,Darjeeling,Red,Sugarcane,September-October,5.9098,32.2,1652.5,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Punjab,Ludhiana,Red,Pulses,September-October,5.9098,34.6,595.0,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Madhya Pradesh,Jabalpur,Loamy,Pulses,October-November,5.9098,41.9,768.8,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Madhya Pradesh,Gwalior,Red,Maize,October-November,5.9098,40.3,371.7,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Madhya Pradesh,Indore,Laterite,Maize,December-January,5.9098,32.2,311.7,NPK,Cypermethrin,Sprinkler Irrigation,Mixed Vegetables
Bihar,Gaya,Alluvial,Maize,August-September,5.9098,13.4,1190.3,NPK,Cypermethrin,Sprinkler Irrigation,Maize
West Bengal,Kolkata,Loamy,Rice,October-November,6.6054,24.5,1956.9,DAP,Carbendazim,Terrace Farming,Barley
Bihar,Muzaffarpur,Alluvial,Rice,September-October,6.6054,28.1,770.5,DAP,Carbendazim,Terrace Farming,Maize
Rajasthan,Udaipur,Black,Wheat,September-October,5.231,11.5,179.8,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Tamil Nadu,Chennai,Laterite,Coffee,August-September,5.9098,26.7,1351.2,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Madhya Pradesh,Jabalpur,Red,Cotton,December-January,5.9098,35.2,488.1,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
Bihar,Gaya,Loamy,Tea,September-October,5.9098,20.7,803.8,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Rajasthan,Jodhpur,Black,Sugarcane,March-April,5.9098,30.4,498.1,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
Karnataka,Belgaum,Laterite,Jowar,October-November,5.9098,23.0,1256.8,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
Bihar,Patna,Black,Jowar,March-April,5.9098,32.3,1250.3,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Madhya Pradesh,Bhopal,Loamy,Maize,March-April,5.9098,39.7,810.8,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Uttar Pradesh,Kanpur,Laterite,Bajra,August-September,5.9098,39.1,621.0,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Mixed Vegetables
Rajasthan,Udaipur,Loamy,Wheat,September-October,5.231,37.3,132.4,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Bihar,Patna,Sandy,Sugarcane,September-October,5.9098,20.8,1016.9,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
West Bengal,Howrah,Sandy,Tea,December-January,5.9098,19.7,891.2,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
Tamil Nadu,Trichy,Black,Wheat,August-September,5.231,33.8,606.3,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Madhya Pradesh,Jabalpur,Alluvial,Tea,August-September,5.9098,41.4,803.7,Organic Compost,Thiamethoxam,Drip Irrigation,Maize
Bihar,Muzaffarpur,Alluvial,Tea,August-September,5.9098,19.6,1159.4,Organic Compost,Thiamethoxam,Drip Irrigation,Maize
Bihar,Bhagalpur,Alluvial,Coffee,December-January,5.9098,17.9,1236.5,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Maize
West Bengal,Howrah,Black,Rice,August-September,6.6054,18.2,1111.0,DAP,Carbendazim,Terrace Farming,Wheat
Tamil Nadu,Trichy,Sandy,Rice,December-January,6.6054,29.1,1133.5,DAP,Carbendazim,Terrace Farming,Bajra
Punjab,Patiala,Alluvial,Rice,August-September,6.6054,17.4,503.3,DAP,Carbendazim,Terrace Farming,Maize
Tamil Nadu,Coimbatore,Laterite,Sugarcane,October-November,5.9098,34.6,981.0,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Punjab,Amritsar,Black,Maize,March-April,5.9098,36.1,695.4,NPK,Cypermethrin,Sprinkler Irrigation,Wheat
Karnataka,Hubli,Sandy,Pulses,December-January,5.9098,24.6,685.5,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Uttar Pradesh,Agra,Black,Coffee,October-November,5.9098,19.7,542.2,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
Karnataka,Hubli,Loamy,Sugarcane,March-April,5.9098,28.4,1390.8,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Karnataka,Belgaum,Loamy,Sugarcane,September-October,5.9098,31.5,1345.0,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
West Bengal,Siliguri,Red,Cotton,October-November,5.9098,35.3,1200.4,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
Punjab,Amritsar,Black,Pulses,August-September,5.9098,22.1,341.2,Bio-fertilizer,Mancozeb,Traditional Method,Wheat
Karnataka,Mysore,Black,Tea,October-November,5.9098,23.0,1380.9,Organic Compost,Thiamethoxam,Drip Irrigation,Wheat
Bihar,Gaya,Sandy,Cotton,August-September,5.9098,18.0,1164.8,Potash,Imidacloprid,Furrow Irrigation,Bajra
Uttar Pradesh,Kanpur,Black,Cotton,March-April,5.9098,31.7,658.2,Potash,Imidacloprid,Furrow Irrigation,Soybean
Punjab,Patiala,Loamy,Tea,October-November,5.9098,30.1,695.2,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Uttar Pradesh,Varanasi,Laterite,Bajra,October-November,5.9098,14.5,960.1,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Mixed Vegetables
Karnataka,Belgaum,Red,Maize,August-September,5.9098,33.9,1123.3,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Madhya Pradesh,Indore,Alluvial,Wheat,October-November,5.231,40.8,364.0,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Madhya Pradesh,Bhopal,Laterite,Sugarcane,October-November,5.9098,36.8,747.8,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Rajasthan,Udaipur,Sandy,Cotton,March-April,5.9098,31.9,197.3,Potash,Imidacloprid,Furrow Irrigation,Bajra
Tamil Nadu,Coimbatore,Laterite,Pulses,December-January,5.9098,28.4,1322.0,Bio-fertilizer,Mancozeb,Traditional Method,Mixed Vegetables
Rajasthan,Kota,Red,Rice,September-October,6.6054,23.9,224.3,DAP,Carbendazim,Terrace Farming,Pulses
West Bengal,Howrah,Black,Coffee,September-October,5.9098,30.3,1574.3,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
Bihar,Bhagalpur,Laterite,Tea,August-September,5.9098,33.5,701.2,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
Uttar Pradesh,Varanasi,Laterite,Tea,March-April,5.9098,15.6,1069.0,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
Tamil Nadu,Coimbatore,Red,Tea,March-April,5.9098,27.8,1190.5,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Madhya Pradesh,Jabalpur,Red,Wheat,September-October,5.231,34.6,884.9,Urea,Chlorpyrifos,Sprinkler Irrigation,Pulses
Karnataka,Hubli,Sandy,Rice,September-October,6.6054,16.2,1371.0,DAP,Carbendazim,Terrace Farming,Bajra
Uttar Pradesh,Lucknow,Sandy,Pulses,August-September,5.9098,39.9,444.8,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Maharashtra,Nagpur,Black,Jowar,October-November,5.9098,21.9,834.4,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Bihar,Patna,Red,Maize,August-September,5.9098,15.2,758.1,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Madhya Pradesh,Jabalpur,Laterite,Tea,September-October,5.9098,11.6,586.7,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
Karnataka,Belgaum,Laterite,Cotton,March-April,5.9098,22.3,1573.6,Potash,Imidacloprid,Furrow Irrigation,Mixed Vegetables
Madhya Pradesh,Bhopal,Red,Wheat,December-January,5.231,27.0,528.1,Urea,Chlorpyrifos,Sprinkler Irrigation,Pulses
West Bengal,Darjeeling,Sandy,Pulses,August-September,5.9098,31.9,1934.2,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Madhya Pradesh,Bhopal,Loamy,Wheat,December-January,5.231,19.0,727.9,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Uttar Pradesh,Varanasi,Black,Wheat,December-January,5.231,32.9,1087.1,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Maharashtra,Nagpur,Sandy,Coffee,March-April,5.9098,21.2,643.6,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
Uttar Pradesh,Varanasi,Laterite,Coffee,September-October,5.9098,24.1,532.5,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Gujarat,Rajkot,Loamy,Pulses,August-September,5.9098,39.3,314.5,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Tamil Nadu,Coimbatore,Alluvial,Jowar,March-April,5.9098,31.6,1193.3,Zinc Sulfate,Dimethoate,Traditional Method,Maize
Bihar,Gaya,Sandy,Tea,August-September,5.9098,31.9,1139.1,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
Madhya Pradesh,Indore,Red,Bajra,August-September,5.9098,21.4,451.4,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
West Bengal,Darjeeling,Sandy,Pulses,December-January,5.9098,29.9,1671.2,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Bihar,Muzaffarpur,Loamy,Bajra,December-January,5.9098,25.2,796.9,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Karnataka,Hubli,Loamy,Rice,September-October,6.6054,33.0,1074.1,DAP,Carbendazim,Terrace Farming,Barley
Maharashtra,Nagpur,Sandy,Pulses,March-April,5.9098,19.1,788.1,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Gujarat,Vadodara,Laterite,Sugarcane,August-September,5.9098,30.2,548.6,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Gujarat,Ahmedabad,Loamy,Sugarcane,September-October,5.9098,33.3,522.6,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Uttar Pradesh,Lucknow,Alluvial,Cotton,September-October,5.9098,11.1,1085.5,Potash,Imidacloprid,Furrow Irrigation,Maize
Karnataka,Hubli,Alluvial,Wheat,December-January,5.231,19.9,1314.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Karnataka,Mysore,Loamy,Bajra,September-October,5.9098,30.8,627.5,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Maharashtra,Nagpur,Loamy,Cotton,August-September,5.9098,15.2,533.2,Potash,Imidacloprid,Furrow Irrigation,Pulses
Madhya Pradesh,Jabalpur,Red,Rice,March-April,6.6054,30.7,627.2,DAP,Carbendazim,Terrace Farming,Pulses
Uttar Pradesh,Lucknow,Alluvial,Maize,October-November,5.9098,18.2,845.6,NPK,Cypermethrin,Sprinkler Irrigation,Maize
Punjab,Jalandhar,Loamy,Wheat,September-October,5.231,14.8,632.8,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Rajasthan,Jodhpur,Red,Jowar,October-November,5.9098,19.8,435.1,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Maharashtra,Nagpur,Loamy,Maize,August-September,5.9098,34.7,553.1,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Rajasthan,Jaipur,Laterite,Coffee,August-September,5.9098,21.0,128.0,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Madhya Pradesh,Jabalpur,Red,Bajra,December-January,5.9098,39.6,632.4,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Madhya Pradesh,Bhopal,Black,Rice,December-January,6.6054,13.9,706.7,DAP,Carbendazim,Terrace Farming,Wheat
Tamil Nadu,Madurai,Laterite,Jowar,August-September,5.9098,37.7,643.4,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
Bihar,Bhagalpur,Black,Wheat,March-April,5.231,27.0,1090.7,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Karnataka,Bangalore,Alluvial,Tea,December-January,5.9098,18.3,1140.4,Organic Compost,Thiamethoxam,Drip Irrigation,Maize
Rajasthan,Jaipur,Alluvial,Wheat,October-November,5.231,25.0,379.4,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Karnataka,Belgaum,Loamy,Cotton,September-October,5.9098,28.7,700.2,Potash,Imidacloprid,Furrow Irrigation,Pulses
Rajasthan,Kota,Alluvial,Jowar,September-October,5.9098,41.3,255.4,Zinc Sulfate,Dimethoate,Traditional Method,Maize
Bihar,Muzaffarpur,Laterite,Coffee,August-September,5.9098,17.2,870.6,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Tamil Nadu,Coimbatore,Laterite,Maize,March-April,5.9098,37.1,1014.1,NPK,Cypermethrin,Sprinkler Irrigation,Mixed Vegetables
Maharashtra,Mumbai,Laterite,Wheat,September-October,5.231,32.1,594.7,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Bihar,Patna,Loamy,Bajra,September-October,5.9098,19.1,962.3,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
West Bengal,Kolkata,Black,Rice,December-January,6.6054,20.0,1021.1,DAP,Carbendazim,Terrace Farming,Wheat
Uttar Pradesh,Lucknow,Black,Coffee,December-January,5.9098,32.4,910.2,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
Rajasthan,Jodhpur,Alluvial,Cotton,March-April,5.9098,29.7,430.2,Potash,Imidacloprid,Furrow Irrigation,Maize
Tamil Nadu,Chennai,Red,Rice,December-January,6.6054,29.2,1084.2,DAP,Carbendazim,Terrace Farming,Pulses
Madhya Pradesh,Bhopal,Laterite,Pulses,December-January,5.9098,30.7,562.1,Bio-fertilizer,Mancozeb,Traditional Method,Mixed Vegetables
Bihar,Muzaffarpur,Loamy,Pulses,December-January,5.9098,26.5,1112.7,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Rajasthan,Jodhpur,Sandy,Tea,March-April,5.9098,41.8,114.4,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
Maharashtra,Nashik,Black,Cotton,August-September,5.9098,25.9,779.8,Potash,Imidacloprid,Furrow Irrigation,Soybean
Maharashtra,Nashik,Black,Coffee,August-September,5.9098,41.9,913.6,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
West Bengal,Howrah,Sandy,Pulses,August-September,5.9098,34.2,1993.7,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Uttar Pradesh,Kanpur,Red,Tea,December-January,5.9098,32.8,831.5,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Maharashtra,Mumbai,Black,Sugarcane,December-January,5.9098,39.0,1046.9,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
Maharashtra,Nagpur,Alluvial,Wheat,March-April,5.231,21.3,787.6,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Gujarat,Ahmedabad,Black,Bajra,September-October,5.9098,19.5,339.6,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Punjab,Jalandhar,Sandy,Maize,December-January,5.9098,18.5,474.4,NPK,Cypermethrin,Sprinkler Irrigation,Bajra
Tamil Nadu,Madurai,Laterite,Cotton,March-April,5.9098,32.9,1207.3,Potash,Imidacloprid,Furrow Irrigation,Mixed Vegetables
West Bengal,Siliguri,Sandy,Rice,August-September,6.6054,20.4,1301.1,DAP,Carbendazim,Terrace Farming,Bajra
Gujarat,Vadodara,Loamy,Rice,March-April,6.6054,19.3,272.8,DAP,Carbendazim,Terrace Farming,Barley
Madhya Pradesh,Indore,Loamy,Cotton,December-January,5.9098,36.0,645.7,Potash,Imidacloprid,Furrow Irrigation,Pulses
Gujarat,Surat,Sandy,Sugarcane,March-April,5.9098,20.1,350.2,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Madhya Pradesh,Gwalior,Alluvial,Pulses,August-September,5.9098,31.3,410.7,Bio-fertilizer,Mancozeb,Traditional Method,Maize
West Bengal,Howrah,Alluvial,Pulses,March-April,5.9098,27.7,1077.1,Bio-fertilizer,Mancozeb,Traditional Method,Maize
Karnataka,Hubli,Black,Wheat,August-September,5.231,22.1,1498.3,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Uttar Pradesh,Agra,Laterite,Wheat,October-November,5.231,33.3,533.7,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Rajasthan,Udaipur,Black,Sugarcane,October-November,5.9098,7.3,405.9,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
Maharashtra,Nagpur,Red,Pulses,October-November,5.9098,31.7,575.3,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Madhya Pradesh,Jabalpur,Alluvial,Bajra,September-October,5.9098,18.0,399.9,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Bihar,Patna,Alluvial,Cotton,August-September,5.9098,22.4,1166.0,Potash,Imidacloprid,Furrow Irrigation,Maize
Punjab,Patiala,Sandy,Pulses,March-April,5.9098,36.5,541.3,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Punjab,Amritsar,Laterite,Wheat,October-November,5.231,39.2,470.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Punjab,Patiala,Alluvial,Sugarcane,October-November,5.9098,29.8,405.6,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Rajasthan,Jaipur,Loamy,Wheat,August-September,5.231,33.1,164.3,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Tamil Nadu,Coimbatore,Alluvial,Pulses,October-November,5.9098,23.2,1477.8,Bio-fertilizer,Mancozeb,Traditional Method,Maize
Punjab,Patiala,Laterite,Jowar,August-September,5.9098,20.3,398.6,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
Madhya Pradesh,Bhopal,Sandy,Pulses,December-January,5.9098,16.8,608.8,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Gujarat,Ahmedabad,Sandy,Wheat,August-September,5.231,40.5,203.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
Bihar,Gaya,Red,Bajra,October-November,5.9098,37.4,806.7,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Uttar Pradesh,Varanasi,Red,Sugarcane,October-November,5.9098,39.2,872.5,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
West Bengal,Howrah,Laterite,Cotton,March-April,5.9098,25.3,1235.9,Potash,Imidacloprid,Furrow Irrigation,Mixed Vegetables
Maharashtra,Nashik,Black,Bajra,December-January,5.9098,35.4,1047.7,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
West Bengal,Siliguri,Black,Pulses,December-January,5.9098,21.8,1053.6,Bio-fertilizer,Mancozeb,Traditional Method,Wheat
Uttar Pradesh,Varanasi,Laterite,Tea,March-April,5.9098,15.4,909.1,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
Madhya Pradesh,Bhopal,Sandy,Pulses,August-September,5.9098,29.3,748.1,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Karnataka,Bangalore,Loamy,Bajra,December-January,5.9098,28.7,959.7,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Uttar Pradesh,Agra,Red,Tea,December-January,5.9098,40.1,1097.4,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Madhya Pradesh,Bhopal,Alluvial,Rice,December-January,6.6054,25.6,455.4,DAP,Carbendazim,Terrace Farming,Maize
Punjab,Amritsar,Loamy,Jowar,December-January,5.9098,28.2,465.6,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Punjab,Patiala,Laterite,Sugarcane,December-January,5.9098,30.1,354.2,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Gujarat,Rajkot,Loamy,Bajra,September-October,5.9098,31.8,371.7,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Uttar Pradesh,Varanasi,Laterite,Rice,December-January,6.6054,17.9,633.4,DAP,Carbendazim,Terrace Farming,Mixed Vegetables
Uttar Pradesh,Agra,Red,Rice,December-January,6.6054,14.1,943.9,DAP,Carbendazim,Terrace Farming,Pulses
Maharashtra,Pune,Alluvial,Cotton,August-September,5.9098,33.5,859.8,Potash,Imidacloprid,Furrow Irrigation,Maize
Karnataka,Belgaum,Laterite,Sugarcane,August-September,5.9098,19.5,1410.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Tamil Nadu,Chennai,Sandy,Bajra,August-September,5.9098,36.3,1258.1,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Bajra
Uttar Pradesh,Kanpur,Laterite,Rice,March-April,6.6054,15.8,619.4,DAP,Carbendazim,Terrace Farming,Mixed Vegetables
Punjab,Patiala,Sandy,Sugarcane,October-November,5.9098,17.8,695.9,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Karnataka,Belgaum,Alluvial,Rice,September-October,6.6054,31.1,653.5,DAP,Carbendazim,Terrace Farming,Maize
West Bengal,Siliguri,Sandy,Cotton,December-January,5.9098,34.0,1344.5,Potash,Imidacloprid,Furrow Irrigation,Bajra
Gujarat,Vadodara,Sandy,Rice,September-October,6.6054,28.5,292.7,DAP,Carbendazim,Terrace Farming,Bajra
Karnataka,Hubli,Alluvial,Maize,December-January,5.9098,20.3,835.5,NPK,Cypermethrin,Sprinkler Irrigation,Maize
Karnataka,Hubli,Loamy,Tea,September-October,5.9098,24.8,1131.9,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Karnataka,Mysore,Red,Maize,March-April,5.9098,30.3,618.2,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Uttar Pradesh,Kanpur,Black,Coffee,August-September,5.9098,37.1,956.4,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
Uttar Pradesh,Lucknow,Black,Jowar,December-January,5.9098,37.8,840.6,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Karnataka,Mysore,Black,Sugarcane,August-September,5.9098,22.2,1587.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
Maharashtra,Mumbai,Laterite,Coffee,December-January,5.9098,32.8,928.1,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Punjab,Amritsar,Alluvial,Coffee,March-April,5.9098,11.8,615.7,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Maize
Punjab,Patiala,Red,Tea,September-October,5.9098,27.4,379.7,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Maharashtra,Pune,Black,Bajra,September-October,5.9098,24.7,870.1,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Punjab,Amritsar,Red,Tea,August-September,5.9098,23.7,543.0,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Tamil Nadu,Trichy,Loamy,Wheat,August-September,5.231,33.0,772.6,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Rajasthan,Udaipur,Sandy,Pulses,August-September,5.9098,38.7,193.5,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
Rajasthan,Jaipur,Alluvial,Rice,September-October,6.6054,32.5,323.4,DAP,Carbendazim,Terrace Farming,Maize
Rajasthan,Udaipur,Laterite,Maize,August-September,5.9098,29.8,363.6,NPK,Cypermethrin,Sprinkler Irrigation,Mixed Vegetables
Maharashtra,Nagpur,Red,Pulses,August-September,5.9098,33.9,965.6,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Rajasthan,Kota,Sandy,Maize,October-November,5.9098,26.2,280.4,NPK,Cypermethrin,Sprinkler Irrigation,Bajra
Punjab,Ludhiana,Laterite,Maize,October-November,5.9098,12.6,525.6,NPK,Cypermethrin,Sprinkler Irrigation,Mixed Vegetables
Maharashtra,Mumbai,Alluvial,Bajra,December-January,5.9098,25.3,992.9,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Karnataka,Belgaum,Black,Maize,March-April,5.9098,31.1,1193.5,NPK,Cypermethrin,Sprinkler Irrigation,Wheat
Karnataka,Hubli,Sandy,Rice,March-April,6.6054,25.2,1163.1,DAP,Carbendazim,Terrace Farming,Bajra
Karnataka,Belgaum,Alluvial,Jowar,August-September,5.9098,15.2,1047.9,Zinc Sulfate,Dimethoate,Traditional Method,Maize
Tamil Nadu,Madurai,Red,Jowar,December-January,5.9098,21.8,1316.9,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Rajasthan,Jodhpur,Sandy,Rice,August-September,6.6054,21.6,184.3,DAP,Carbendazim,Terrace Farming,Bajra
Madhya Pradesh,Jabalpur,Loamy,Pulses,August-September,5.9098,13.5,733.6,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
