State,District,Soil Type,Crop,Land Area (acres),Temperature (°C),Rainfall (mm),Humidity (%),Wind Speed (km/h),Best Irrigation Time,Water Amount (Liters/hectare),Irrigation Method,Best Next Crop,Best Fertilizer,Alternative Fertilizer,Estimated Yield (kg/hectare),Ymax (kg/hectare),Ky,ETm (mm),ETa (mm)
Uttar Pradesh,North,Clay,Tea,1.52,20.2,93.5,59.3,5.5,5:00 AM - 8:00 AM,2157.1,Sprinkler Irrigation,Cotton,Vermicompost,Seaweed Extract,3513.8,4000.0,1.05,700.0,215.70999999999998
Haryana,North,Saline,Tea,9.54,31.1,182.3,55.3,2.6,7:00 PM - 10:00 PM,8323.9,Furrow Irrigation,Maize,MOP,Seaweed Extract,2344.0,4000.0,1.05,700.0,832.39
Gujarat,West,Loamy,Soybean,5.64,22.9,117.2,78.4,7.3,7:00 PM - 10:00 PM,4043.2,Drip Irrigation,Barley,Biofertilizer,Bone Meal,7367.1,,,,404.32
Madhya Pradesh,Central,Loamy,Barley,8.81,36.1,70.7,77.6,5.3,7:00 PM - 10:00 PM,8200.3,Furrow Irrigation,Soybean,Urea,Seaweed Extract,6577.3,,,,820.03
Karnataka,South,Clay,Maize,7.55,34.6,175.4,48.9,4.0,7:00 PM - 10:00 PM,2522.3,Sprinkler Irrigation,Rice,Vermicompost,Cow Manure,1890.8,12000.0,1.1,500.0,252.23000000000002
Uttar Pradesh,North,Loamy,Maize,8.51,26.7,214.7,61.2,8.9,5:00 AM - 8:00 AM,1139.3,Sprinkler Irrigation,Barley,MOP,Neem Cake,7086.8,12000.0,1.1,500.0,113.92999999999999
Maharashtra,West,Clay,Pulses,5.6,15.4,187.3,69.8,5.5,4:00 PM - 7:00 PM,8920.2,Furrow Irrigation,Rice,Biofertilizer,Seaweed Extract,2066.3,3000.0,0.75,400.0,892.0200000000001
Rajasthan,West,Peaty,Wheat,2.28,36.8,230.4,56.4,6.7,4:00 PM - 7:00 PM,3091.8,Drip Irrigation,Wheat,Vermicompost,Seaweed Extract,5742.6,8000.0,1.15,450.0,309.18
Madhya Pradesh,Central,Clay,Rice,3.95,23.2,104.1,75.6,10.2,5:00 AM - 8:00 AM,1208.0,Sprinkler Irrigation,Barley,Biofertilizer,Neem Cake,6342.8,10000.0,1.25,900.0,120.8
Madhya Pradesh,Central,Clay,Sugarcane,2.91,35.2,171.9,86.8,6.0,4:00 PM - 7:00 PM,3271.6,Furrow Irrigation,Groundnut,Compost,Neem Cake,6809.1,120000.0,1.3,1500.0,327.15999999999997
West Bengal,East,Saline,Soybean,5.78,22.7,269.5,72.3,14.4,7:00 PM - 10:00 PM,6524.4,Surface Irrigation,Tea,Vermicompost,Bone Meal,5660.4,,,,652.4399999999999
West Bengal,East,Clay,Cotton,5.56,35.0,84.8,87.2,13.8,5:00 AM - 8:00 AM,2875.7,Furrow Irrigation,Groundnut,Urea,Neem Cake,6886.3,5000.0,0.85,600.0,287.57
Madhya Pradesh,Central,Saline,Rice,8.32,24.1,214.9,46.6,11.3,7:00 PM - 10:00 PM,9162.6,Drip Irrigation,Groundnut,Urea,Bone Meal,7114.0,10000.0,1.25,900.0,916.26
Maharashtra,West,Saline,Maize,5.88,16.2,184.3,80.7,8.4,7:00 PM - 10:00 PM,2534.0,Surface Irrigation,Barley,Biofertilizer,Cow Manure,5987.8,12000.0,1.1,500.0,253.4
Madhya Pradesh,Central,Peaty,Maize,3.96,26.0,238.6,44.8,8.3,5:00 AM - 8:00 AM,6108.1,Sprinkler Irrigation,Pulses,Compost,Seaweed Extract,1719.8,12000.0,1.1,500.0,610.8100000000001
Madhya Pradesh,Central,Silt,Pulses,9.79,25.6,181.6,46.1,2.6,5:00 AM - 8:00 AM,1589.9,Sprinkler Irrigation,Tea,Urea,Neem Cake,3929.6,3000.0,0.75,400.0,158.99
Maharashtra,West,Sandy,Groundnut,6.16,15.1,131.4,48.6,3.8,7:00 PM - 10:00 PM,3132.7,Sprinkler Irrigation,Barley,Vermicompost,Neem Cake,6075.3,,,,313.27
Punjab,North,Saline,Barley,9.04,16.8,64.4,64.4,7.7,5:00 AM - 8:00 AM,6287.8,Furrow Irrigation,Tea,Vermicompost,Bone Meal,7611.9,,,,628.78
Rajasthan,West,Sandy,Maize,9.4,16.3,53.2,40.2,12.1,7:00 PM - 10:00 PM,9419.2,Surface Irrigation,Wheat,MOP,Cow Manure,6752.3,12000.0,1.1,500.0,941.9200000000001
Uttar Pradesh,North,Loamy,Wheat,9.39,24.6,58.2,58.9,2.4,4:00 PM - 7:00 PM,1433.7,Drip Irrigation,Soybean,Urea,Green Manure,1017.2,8000.0,1.15,450.0,143.37
Karnataka,South,Saline,Wheat,4.15,29.8,243.1,63.4,8.4,4:00 PM - 7:00 PM,3664.6,Drip Irrigation,Cotton,Compost,Bone Meal,4342.5,8000.0,1.15,450.0,366.46
Tamil Nadu,South,Peaty,Barley,8.49,38.3,267.0,88.7,10.8,4:00 PM - 7:00 PM,4073.2,Sprinkler Irrigation,Rice,Urea,Bone Meal,960.9,,,,407.32
Punjab,North,Silt,Tea,4.25,17.9,290.8,42.4,7.6,4:00 PM - 7:00 PM,6142.8,Drip Irrigation,Groundnut,Compost,Seaweed Extract,7529.7,4000.0,1.05,700.0,614.28
Haryana,North,Clay,Cotton,1.48,27.5,233.0,72.6,4.9,4:00 PM - 7:00 PM,1627.6,Drip Irrigation,Groundnut,Vermicompost,Green Manure,3955.1,5000.0,0.85,600.0,162.76
Rajasthan,West,Silt,Rice,7.1,21.6,193.9,77.9,9.7,5:00 AM - 8:00 AM,5388.5,Surface Irrigation,Barley,Urea,Green Manure,2608.2,10000.0,1.25,900.0,538.85
Madhya Pradesh,Central,Saline,Cotton,3.27,38.9,238.7,81.0,8.6,7:00 PM - 10:00 PM,2596.0,Sprinkler Irrigation,Wheat,Urea,Green Manure,4562.3,5000.0,0.85,600.0,259.6
Uttar Pradesh,North,Sandy,Soybean,2.3,16.8,230.2,85.8,9.4,4:00 PM - 7:00 PM,6872.0,Surface Irrigation,Pulses,Vermicompost,Cow Manure,1647.7,,,,687.2
Gujarat,West,Loamy,Maize,9.39,38.9,218.7,82.5,5.2,5:00 AM - 8:00 AM,2310.9,Furrow Irrigation,Cotton,Urea,Bone Meal,1983.8,12000.0,1.1,500.0,231.09
Karnataka,South,Peaty,Sugarcane,4.82,27.6,117.7,59.0,10.9,5:00 AM - 8:00 AM,7015.7,Furrow Irrigation,Groundnut,DAP,Green Manure,4876.5,120000.0,1.3,1500.0,701.5699999999999
Uttar Pradesh,North,Sandy,Soybean,9.04,31.7,102.3,68.3,3.2,4:00 PM - 7:00 PM,3780.3,Furrow Irrigation,Tea,MOP,Cow Manure,5128.9,,,,378.03000000000003
Gujarat,West,Saline,Soybean,8.21,33.2,163.0,70.4,12.8,4:00 PM - 7:00 PM,6165.2,Surface Irrigation,Wheat,MOP,Cow Manure,4753.0,,,,616.52
Haryana,North,Loamy,Barley,6.03,34.8,221.1,43.1,10.3,4:00 PM - 7:00 PM,9127.4,Drip Irrigation,Maize,Compost,Bone Meal,7680.2,,,,912.74
West Bengal,East,Peaty,Maize,2.12,22.1,238.2,42.2,6.5,5:00 AM - 8:00 AM,7534.1,Surface Irrigation,Wheat,Vermicompost,Seaweed Extract,6055.1,12000.0,1.1,500.0,753.4100000000001
Uttar Pradesh,North,Clay,Soybean,5.86,29.1,216.7,45.3,4.0,4:00 PM - 7:00 PM,2954.9,Furrow Irrigation,Groundnut,Urea,Seaweed Extract,1657.6,,,,295.49
Rajasthan,West,Clay,Sugarcane,4.74,37.4,111.1,60.2,4.5,4:00 PM - 7:00 PM,2866.6,Surface Irrigation,Pulses,Urea,Seaweed Extract,3891.4,120000.0,1.3,1500.0,286.65999999999997
Karnataka,South,Saline,Groundnut,9.41,19.7,203.1,57.2,2.1,4:00 PM - 7:00 PM,4201.3,Drip Irrigation,Soybean,DAP,Cow Manure,1665.8,,,,420.13
Tamil Nadu,South,Peaty,Pulses,4.8,31.9,167.6,68.2,2.5,7:00 PM - 10:00 PM,7755.7,Furrow Irrigation,Groundnut,Urea,Bone Meal,4703.3,3000.0,0.75,400.0,775.5699999999999
Karnataka,South,Peaty,Sugarcane,1.19,30.6,261.9,54.2,9.1,7:00 PM - 10:00 PM,6157.3,Sprinkler Irrigation,Groundnut,DAP,Green Manure,1969.0,120000.0,1.3,1500.0,615.73
Maharashtra,West,Sandy,Tea,6.8,34.0,254.0,89.9,11.7,7:00 PM - 10:00 PM,3928.1,Surface Irrigation,Soybean,Vermicompost,Bone Meal,2549.9,4000.0,1.05,700.0,392.81
Rajasthan,West,Clay,Soybean,2.84,27.8,110.2,58.9,10.7,4:00 PM - 7:00 PM,6028.9,Furrow Irrigation,Cotton,Vermicompost,Neem Cake,6274.3,,,,602.89
Karnataka,South,Clay,Maize,7.72,28.4,281.2,52.2,11.2,4:00 PM - 7:00 PM,6824.3,Surface Irrigation,Soybean,MOP,Cow Manure,1294.6,12000.0,1.1,500.0,682.4300000000001
Rajasthan,West,Sandy,Rice,9.32,39.4,77.4,89.2,9.4,7:00 PM - 10:00 PM,3715.3,Furrow Irrigation,Soybean,Vermicompost,Neem Cake,3884.4,10000.0,1.25,900.0,371.53000000000003
West Bengal,East,Saline,Groundnut,2.03,16.8,252.0,43.1,14.0,4:00 PM - 7:00 PM,7084.3,Furrow Irrigation,Maize,Biofertilizer,Green Manure,1240.5,,,,708.4300000000001
Tamil Nadu,South,Peaty,Wheat,6.18,24.2,207.6,45.6,9.2,7:00 PM - 10:00 PM,8874.3,Furrow Irrigation,Rice,Compost,Cow Manure,5501.3,8000.0,1.15,450.0,887.43
Haryana,North,Peaty,Pulses,9.49,31.7,93.9,66.2,5.6,7:00 PM - 10:00 PM,6814.8,Sprinkler Irrigation,Pulses,Vermicompost,Bone Meal,2381.5,3000.0,0.75,400.0,681.48
Uttar Pradesh,North,Sandy,Cotton,0.59,37.2,274.4,57.5,11.9,4:00 PM - 7:00 PM,4671.5,Furrow Irrigation,Rice,Vermicompost,Bone Meal,1659.9,5000.0,0.85,600.0,467.15
West Bengal,East,Peaty,Barley,2.18,21.0,185.3,63.1,8.4,7:00 PM - 10:00 PM,8357.7,Drip Irrigation,Tea,Compost,Green Manure,2975.5,,,,835.7700000000001
Uttar Pradesh,North,Loamy,Pulses,8.87,16.2,82.7,71.4,8.8,7:00 PM - 10:00 PM,6973.3,Drip Irrigation,Wheat,Compost,Green Manure,4435.6,3000.0,0.75,400.0,697.33
Madhya Pradesh,Central,Silt,Barley,4.91,23.3,187.7,59.1,15.0,7:00 PM - 10:00 PM,7475.6,Drip Irrigation,Cotton,MOP,Bone Meal,7458.5,,,,747.5600000000001
Madhya Pradesh,Central,Clay,Cotton,1.48,26.6,141.8,46.2,9.8,5:00 AM - 8:00 AM,9729.4,Furrow Irrigation,Cotton,DAP,Seaweed Extract,4857.0,5000.0,0.85,600.0,972.9399999999999
Maharashtra,West,Loamy,Rice,9.22,16.4,253.8,85.5,10.8,5:00 AM - 8:00 AM,1942.7,Furrow Irrigation,Groundnut,MOP,Cow Manure,3579.6,10000.0,1.25,900.0,194.27
Tamil Nadu,South,Saline,Pulses,2.7,21.4,155.2,43.3,4.7,5:00 AM - 8:00 AM,7053.4,Furrow Irrigation,Wheat,Vermicompost,Seaweed Extract,3516.3,3000.0,0.75,400.0,705.3399999999999
Rajasthan,West,Silt,Rice,3.53,22.5,299.0,49.9,14.0,4:00 PM - 7:00 PM,2621.4,Furrow Irrigation,Groundnut,Vermicompost,Seaweed Extract,3299.7,10000.0,1.25,900.0,262.14
Tamil Nadu,South,Clay,Wheat,6.2,16.9,286.5,85.7,11.9,4:00 PM - 7:00 PM,8350.0,Surface Irrigation,Cotton,Urea,Neem Cake,1231.4,8000.0,1.15,450.0,835.0
Uttar Pradesh,North,Clay,Maize,9.24,23.0,123.1,60.4,5.1,4:00 PM - 7:00 PM,9021.3,Furrow Irrigation,Groundnut,DAP,Cow Manure,5904.8,12000.0,1.1,500.0,902.1299999999999
Rajasthan,West,Silt,Barley,9.52,35.7,184.1,61.7,13.1,5:00 AM - 8:00 AM,1370.5,Drip Irrigation,Tea,MOP,Green Manure,5090.1,,,,137.05
Maharashtra,West,Clay,Maize,3.46,38.5,294.6,42.9,9.8,4:00 PM - 7:00 PM,2704.6,Drip Irrigation,Sugarcane,Vermicompost,Seaweed Extract,6214.7,12000.0,1.1,500.0,270.46
Tamil Nadu,South,Clay,Soybean,5.08,27.7,215.6,60.3,5.4,4:00 PM - 7:00 PM,9157.6,Furrow Irrigation,Sugarcane,Biofertilizer,Cow Manure,744.5,,,,915.76
Gujarat,West,Silt,Groundnut,7.11,16.5,102.0,60.9,13.5,5:00 AM - 8:00 AM,6771.5,Drip Irrigation,Soybean,Biofertilizer,Green Manure,1811.6,,,,677.15
Uttar Pradesh,North,Clay,Rice,7.46,25.9,96.5,65.3,6.5,5:00 AM - 8:00 AM,4351.5,Surface Irrigation,Tea,Compost,Seaweed Extract,5535.2,10000.0,1.25,900.0,435.15
Gujarat,West,Clay,Pulses,2.15,15.6,296.4,85.9,6.9,4:00 PM - 7:00 PM,3162.1,Surface Irrigation,Groundnut,Compost,Neem Cake,3040.4,3000.0,0.75,400.0,316.21
Rajasthan,West,Clay,Barley,5.7,31.9,65.6,41.4,11.4,5:00 AM - 8:00 AM,8647.5,Furrow Irrigation,Cotton,Vermicompost,Neem Cake,1048.2,,,,864.75
Tamil Nadu,South,Clay,Pulses,8.24,21.1,192.4,49.6,10.0,5:00 AM - 8:00 AM,9539.2,Sprinkler Irrigation,Pulses,DAP,Green Manure,2669.6,3000.0,0.75,400.0,953.9200000000001
Uttar Pradesh,North,Peaty,Cotton,3.08,32.9,296.1,54.3,11.0,4:00 PM - 7:00 PM,3906.5,Sprinkler Irrigation,Pulses,MOP,Cow Manure,6390.5,5000.0,0.85,600.0,390.65
Madhya Pradesh,Central,Silt,Wheat,6.43,15.2,61.8,52.8,10.5,7:00 PM - 10:00 PM,3799.5,Sprinkler Irrigation,Cotton,Vermicompost,Cow Manure,7663.8,8000.0,1.15,450.0,379.95
Tamil Nadu,South,Peaty,Pulses,1.78,32.3,283.9,66.7,5.9,7:00 PM - 10:00 PM,6949.3,Drip Irrigation,Pulses,Biofertilizer,Neem Cake,5333.5,3000.0,0.75,400.0,694.9300000000001
Tamil Nadu,South,Peaty,Cotton,7.17,29.8,282.1,68.7,7.7,7:00 PM - 10:00 PM,7226.6,Furrow Irrigation,Soybean,MOP,Cow Manure,3974.6,5000.0,0.85,600.0,722.6600000000001
Maharashtra,West,Saline,Cotton,8.54,15.6,144.0,48.5,4.0,4:00 PM - 7:00 PM,8232.6,Surface Irrigation,Pulses,MOP,Green Manure,7447.1,5000.0,0.85,600.0,823.26
Uttar Pradesh,North,Sandy,Rice,6.63,18.5,191.6,72.8,9.9,5:00 AM - 8:00 AM,2160.0,Furrow Irrigation,Barley,Compost,Bone Meal,6786.4,10000.0,1.25,900.0,216.0
Tamil Nadu,South,Clay,Maize,0.88,27.9,188.9,42.9,7.1,4:00 PM - 7:00 PM,6851.6,Sprinkler Irrigation,Sugarcane,Urea,Cow Manure,2341.5,12000.0,1.1,500.0,685.1600000000001
Karnataka,South,Silt,Pulses,2.55,37.5,235.7,64.4,5.6,4:00 PM - 7:00 PM,9601.4,Sprinkler Irrigation,Maize,Biofertilizer,Green Manure,4058.2,3000.0,0.75,400.0,960.14
West Bengal,East,Clay,Soybean,6.24,32.9,269.9,72.8,9.7,7:00 PM - 10:00 PM,5534.4,Drip Irrigation,Maize,Urea,Bone Meal,2245.5,,,,553.4399999999999
Uttar Pradesh,North,Clay,Sugarcane,8.12,27.1,63.9,72.7,5.6,7:00 PM - 10:00 PM,2002.4,Drip Irrigation,Sugarcane,Biofertilizer,Neem Cake,1497.0,120000.0,1.3,1500.0,200.24
Rajasthan,West,Saline,Groundnut,7.96,20.4,238.4,89.0,4.4,5:00 AM - 8:00 AM,6011.3,Furrow Irrigation,Sugarcane,Biofertilizer,Green Manure,5838.7,,,,601.13
Punjab,North,Clay,Cotton,9.22,39.7,99.6,70.5,3.3,4:00 PM - 7:00 PM,5277.6,Sprinkler Irrigation,Soybean,Urea,Bone Meal,533.7,5000.0,0.85,600.0,527.76
Madhya Pradesh,Central,Loamy,Wheat,1.19,29.6,102.1,61.5,14.0,4:00 PM - 7:00 PM,5535.8,Furrow Irrigation,Maize,Compost,Cow Manure,7022.1,8000.0,1.15,450.0,553.58
Tamil Nadu,South,Saline,Maize,6.72,38.9,145.3,77.5,11.7,7:00 PM - 10:00 PM,6947.8,Sprinkler Irrigation,Cotton,Biofertilizer,Green Manure,5913.4,12000.0,1.1,500.0,694.78
Maharashtra,West,Saline,Cotton,3.17,16.7,200.0,71.9,13.3,4:00 PM - 7:00 PM,5552.6,Drip Irrigation,Rice,MOP,Green Manure,7913.9,5000.0,0.85,600.0,555.26
West Bengal,East,Sandy,Groundnut,5.4,30.8,97.6,88.5,12.6,7:00 PM - 10:00 PM,2005.7,Surface Irrigation,Maize,Urea,Cow Manure,7785.4,,,,200.57
Karnataka,South,Sandy,Rice,2.92,34.3,243.5,81.2,4.6,5:00 AM - 8:00 AM,7676.6,Sprinkler Irrigation,Barley,Vermicompost,Seaweed Extract,3073.1,10000.0,1.25,900.0,767.6600000000001
Karnataka,South,Loamy,Cotton,4.23,29.3,171.2,62.5,5.4,4:00 PM - 7:00 PM,2461.8,Surface Irrigation,Wheat,Biofertilizer,Cow Manure,1629.9,5000.0,0.85,600.0,246.18
Maharashtra,West,Peaty,Barley,2.12,27.1,115.4,41.6,6.6,7:00 PM - 10:00 PM,2840.4,Surface Irrigation,Sugarcane,Urea,Cow Manure,3815.0,,,,284.04
Madhya Pradesh,Central,Loamy,Pulses,8.07,15.2,125.8,80.7,4.4,5:00 AM - 8:00 AM,7461.4,Drip Irrigation,Groundnut,Urea,Neem Cake,3720.7,3000.0,0.75,400.0,746.14
Tamil Nadu,South,Loamy,Barley,8.79,22.6,112.4,74.7,12.2,5:00 AM - 8:00 AM,7569.4,Drip Irrigation,Cotton,Urea,Bone Meal,862.4,,,,756.9399999999999
Uttar Pradesh,North,Peaty,Barley,6.31,26.2,94.0,87.0,5.1,5:00 AM - 8:00 AM,8500.0,Sprinkler Irrigation,Cotton,Biofertilizer,Bone Meal,7628.6,,,,850.0
Rajasthan,West,Loamy,Rice,8.14,17.3,211.7,55.4,3.1,7:00 PM - 10:00 PM,6180.0,Sprinkler Irrigation,Cotton,Biofertilizer,Green Manure,2829.2,10000.0,1.25,900.0,618.0
Rajasthan,West,Loamy,Pulses,5.28,23.7,118.4,88.9,14.6,4:00 PM - 7:00 PM,9591.1,Drip Irrigation,Maize,Compost,Cow Manure,5999.4,3000.0,0.75,400.0,959.11
Haryana,North,Clay,Rice,2.5,39.8,297.8,56.4,7.4,7:00 PM - 10:00 PM,5146.6,Furrow Irrigation,Wheat,DAP,Bone Meal,3817.6,10000.0,1.25,900.0,514.6600000000001
Rajasthan,West,Saline,Soybean,1.64,31.1,260.1,43.5,13.3,7:00 PM - 10:00 PM,9178.7,Surface Irrigation,Soybean,Urea,Green Manure,3311.1,,,,917.8700000000001
Tamil Nadu,South,Silt,Wheat,7.33,23.8,215.0,73.4,4.5,7:00 PM - 10:00 PM,4920.2,Furrow Irrigation,Tea,Biofertilizer,Green Manure,4028.3,8000.0,1.15,450.0,492.02
West Bengal,East,Peaty,Groundnut,0.76,16.5,291.2,66.2,10.8,5:00 AM - 8:00 AM,3083.1,Surface Irrigation,Groundnut,MOP,Neem Cake,1388.8,,,,308.31
Punjab,North,Sandy,Tea,9.42,17.0,221.2,62.8,6.2,5:00 AM - 8:00 AM,6013.4,Surface Irrigation,Pulses,DAP,Green Manure,7686.9,4000.0,1.05,700.0,601.3399999999999
Madhya Pradesh,Central,Loamy,Pulses,1.86,17.6,212.9,48.3,9.1,5:00 AM - 8:00 AM,3351.7,Surface Irrigation,Cotton,Biofertilizer,Green Manure,3726.9,3000.0,0.75,400.0,335.16999999999996
West Bengal,East,Loamy,Barley,3.56,26.0,101.1,47.7,11.8,4:00 PM - 7:00 PM,1711.8,Drip Irrigation,Sugarcane,MOP,Green Manure,1233.6,,,,171.18
Haryana,North,Clay,Barley,3.51,27.5,186.6,74.6,2.3,5:00 AM - 8:00 AM,5866.7,Furrow Irrigation,Sugarcane,MOP,Seaweed Extract,4402.9,,,,586.67
Uttar Pradesh,North,Clay,Barley,1.41,24.0,129.6,43.0,11.4,5:00 AM - 8:00 AM,4341.6,Drip Irrigation,Cotton,Compost,Seaweed Extract,6934.7,,,,434.16
Haryana,North,Peaty,Cotton,3.82,28.8,256.8,88.6,4.8,4:00 PM - 7:00 PM,4703.3,Drip Irrigation,Wheat,Urea,Green Manure,1784.5,5000.0,0.85,600.0,470.33000000000004
Tamil Nadu,South,Peaty,Rice,2.49,26.2,143.6,44.7,14.4,5:00 AM - 8:00 AM,7552.6,Sprinkler Irrigation,Soybean,Biofertilizer,Seaweed Extract,4231.9,10000.0,1.25,900.0,755.26
Maharashtra,West,Clay,Cotton,6.01,28.2,176.8,44.4,2.9,5:00 AM - 8:00 AM,2679.0,Surface Irrigation,Rice,DAP,Bone Meal,7470.7,5000.0,0.85,600.0,267.9
Rajasthan,West,Clay,Groundnut,3.42,33.1,99.7,63.5,10.1,7:00 PM - 10:00 PM,3050.0,Surface Irrigation,Groundnut,DAP,Bone Meal,2167.2,,,,305.0
West Bengal,East,Saline,Maize,2.34,36.5,158.1,89.3,3.0,4:00 PM - 7:00 PM,5453.9,Drip Irrigation,Rice,Vermicompost,Cow Manure,2069.3,12000.0,1.1,500.0,545.39
Maharashtra,West,Saline,Pulses,9.06,23.5,79.3,72.1,9.6,7:00 PM - 10:00 PM,6282.6,Drip Irrigation,Soybean,DAP,Seaweed Extract,6838.1,3000.0,0.75,400.0,628.26
Haryana,North,Sandy,Pulses,0.74,37.5,227.6,69.1,7.6,4:00 PM - 7:00 PM,6039.0,Sprinkler Irrigation,Tea,DAP,Seaweed Extract,4312.8,3000.0,0.75,400.0,603.9
Haryana,North,Silt,Soybean,6.16,31.1,251.1,86.2,7.8,5:00 AM - 8:00 AM,7140.5,Drip Irrigation,Maize,MOP,Seaweed Extract,5522.5,,,,714.05
Madhya Pradesh,Central,Clay,Soybean,3.24,15.9,219.2,49.6,2.9,7:00 PM - 10:00 PM,8134.8,Furrow Irrigation,Groundnut,Urea,Neem Cake,4567.8,,,,813.48
Karnataka,South,Peaty,Groundnut,3.7,26.5,57.3,67.1,3.3,4:00 PM - 7:00 PM,6752.1,Furrow Irrigation,Sugarcane,Vermicompost,Bone Meal,1907.1,,,,675.21
Punjab,North,Peaty,Rice,3.76,22.5,236.7,71.6,5.7,5:00 AM - 8:00 AM,8280.6,Drip Irrigation,Maize,Vermicompost,Neem Cake,6294.6,10000.0,1.25,900.0,828.0600000000001
Tamil Nadu,South,Silt,Groundnut,7.25,23.8,158.3,59.8,8.5,5:00 AM - 8:00 AM,1589.0,Sprinkler Irrigation,Soybean,Biofertilizer,Green Manure,7852.2,,,,158.9
Tamil Nadu,South,Peaty,Barley,3.07,34.8,124.1,85.1,4.9,7:00 PM - 10:00 PM,4297.1,Furrow Irrigation,Groundnut,MOP,Seaweed Extract,5671.3,,,,429.71000000000004
Madhya Pradesh,Central,Loamy,Cotton,6.51,31.1,170.7,78.7,7.3,5:00 AM - 8:00 AM,6885.4,Drip Irrigation,Barley,Compost,Green Manure,586.1,5000.0,0.85,600.0,688.54
Gujarat,West,Clay,Soybean,1.74,18.8,205.4,83.1,13.3,4:00 PM - 7:00 PM,1039.0,Drip Irrigation,Soybean,MOP,Green Manure,5814.7,,,,103.9
Tamil Nadu,South,Clay,Barley,5.29,17.5,185.1,89.4,12.8,5:00 AM - 8:00 AM,6948.3,Drip Irrigation,Wheat,Biofertilizer,Bone Meal,5019.3,,,,694.83
Rajasthan,West,Loamy,Groundnut,5.88,15.1,60.4,40.6,12.7,5:00 AM - 8:00 AM,8678.5,Sprinkler Irrigation,Barley,Compost,Green Manure,7679.6,,,,867.85
Tamil Nadu,South,Silt,Pulses,5.45,33.8,131.9,52.3,3.6,7:00 PM - 10:00 PM,9029.6,Drip Irrigation,Soybean,Urea,Neem Cake,5673.7,3000.0,0.75,400.0,902.96
Maharashtra,West,Saline,Rice,7.32,31.8,129.2,57.1,14.0,5:00 AM - 8:00 AM,4494.9,Surface Irrigation,Soybean,Vermicompost,Neem Cake,829.9,10000.0,1.25,900.0,449.48999999999995
Karnataka,South,Saline,Groundnut,7.6,17.6,127.4,78.1,14.4,4:00 PM - 7:00 PM,2809.5,Drip Irrigation,Barley,Urea,Bone Meal,7024.8,,,,280.95
Maharashtra,West,Sandy,Cotton,5.6,30.0,60.5,64.3,8.4,4:00 PM - 7:00 PM,1961.3,Sprinkler Irrigation,Sugarcane,Biofertilizer,Seaweed Extract,780.3,5000.0,0.85,600.0,196.13
Karnataka,South,Sandy,Cotton,5.13,20.3,76.7,67.6,14.7,4:00 PM - 7:00 PM,7982.5,Surface Irrigation,Wheat,Urea,Cow Manure,4744.5,5000.0,0.85,600.0,798.25
Rajasthan,West,Loamy,Cotton,7.3,23.0,104.5,52.0,5.2,5:00 AM - 8:00 AM,6697.9,Sprinkler Irrigation,Sugarcane,Urea,Green Manure,6439.4,5000.0,0.85,600.0,669.79
Karnataka,South,Silt,Groundnut,5.68,32.9,168.6,62.2,13.9,4:00 PM - 7:00 PM,9119.0,Sprinkler Irrigation,Barley,Urea,Cow Manure,3377.3,,,,911.9
Punjab,North,Silt,Rice,6.94,21.6,107.7,64.1,6.6,7:00 PM - 10:00 PM,7903.8,Drip Irrigation,Barley,MOP,Bone Meal,946.8,10000.0,1.25,900.0,790.38
Punjab,North,Silt,Maize,5.36,24.9,85.6,84.8,7.2,5:00 AM - 8:00 AM,5807.2,Furrow Irrigation,Tea,Vermicompost,Neem Cake,6563.8,12000.0,1.1,500.0,580.72
Madhya Pradesh,Central,Loamy,Rice,8.84,39.6,282.3,78.1,5.4,4:00 PM - 7:00 PM,5064.4,Sprinkler Irrigation,Pulses,Compost,Neem Cake,1780.8,10000.0,1.25,900.0,506.43999999999994
Uttar Pradesh,North,Silt,Cotton,4.33,39.8,138.3,70.1,11.4,4:00 PM - 7:00 PM,4859.8,Furrow Irrigation,Tea,Compost,Seaweed Extract,4607.2,5000.0,0.85,600.0,485.98
Gujarat,West,Peaty,Wheat,5.02,18.7,295.1,46.7,13.8,5:00 AM - 8:00 AM,1787.6,Surface Irrigation,Pulses,MOP,Neem Cake,5362.5,8000.0,1.15,450.0,178.76
Punjab,North,Sandy,Barley,9.12,15.7,178.0,52.1,3.3,4:00 PM - 7:00 PM,2284.6,Drip Irrigation,Barley,Vermicompost,Neem Cake,3003.7,,,,228.45999999999998
Punjab,North,Sandy,Barley,5.01,31.0,231.7,47.2,9.5,4:00 PM - 7:00 PM,5565.1,Drip Irrigation,Soybean,MOP,Cow Manure,1212.5,,,,556.51
Karnataka,South,Loamy,Groundnut,2.38,32.9,131.8,65.3,9.9,5:00 AM - 8:00 AM,9124.7,Furrow Irrigation,Tea,Biofertilizer,Seaweed Extract,1127.9,,,,912.47
Punjab,North,Silt,Sugarcane,4.23,19.0,237.5,59.3,5.0,4:00 PM - 7:00 PM,9563.9,Sprinkler Irrigation,Maize,MOP,Bone Meal,4451.6,120000.0,1.3,1500.0,956.39
Karnataka,South,Silt,Pulses,2.23,39.5,97.8,89.4,3.5,4:00 PM - 7:00 PM,7361.7,Drip Irrigation,Groundnut,DAP,Green Manure,5802.6,3000.0,0.75,400.0,736.17
