State,District,Soil Type,Crop,Land Area (acres),Temperature (°C),Rainfall (mm),Humidity (%),Wind Speed (km/h),Best Irrigation Time,Water Amount (Liters/hectare),Irrigation Method,Best Next Crop,Best Fertilizer,Alternative Fertilizer,Estimated Yield (kg/hectare)
Uttar Pradesh,Kolkata,Saline,Soybean,7.66,21.7,179.3,51.7,4.6,Morning,6011.2,Drip Irrigation,Sugarcane,Urea,Cow Manure,3508.1
Tamil Nadu,Ludhiana,Silt,Cotton,5.27,15.6,222.4,60.0,13.5,Night,3234.5,Drip Irrigation,Barley,DAP,Cow Manure,3145.0
Maharashtra,Ludhiana,Sandy,Pulses,4.56,18.3,85.0,69.3,4.8,Evening,3604.1,Drip Irrigation,Barley,DAP,Seaweed Extract,5930.3
Rajasthan,Jaipur,Saline,Barley,5.98,31.0,285.5,79.4,5.3,Night,6364.8,Surface Irrigation,Rice,MOP,Seaweed Extract,3669.1
Haryana,Ahmedabad,Silt,Cotton,4.83,21.9,134.2,57.9,13.9,Evening,3587.6,Drip Irrigation,Barley,MOP,Neem Cake,2777.4
Maharashtra,Pune,Silt,Soybean,1.75,27.0,157.2,79.4,9.1,Morning,9565.6,Surface Irrigation,Sugarcane,Compost,Bone Meal,3222.1
Maharashtra,Pune,Silt,Tea,9.36,25.0,66.5,60.9,11.5,Evening,7385.4,Drip Irrigation,Rice,Compost,Cow Manure,1394.9
Maharashtra,Ahmedabad,Silt,Groundnut,7.52,27.4,219.2,89.6,9.9,Morning,3921.4,Drip Irrigation,Rice,Biofertilizer,Bone Meal,7223.2
Madhya Pradesh,Bhopal,Silt,Pulses,9.54,30.7,110.3,68.4,8.4,Morning,9833.1,Surface Irrigation,Groundnut,Biofertilizer,Bone Meal,2059.5
Tamil Nadu,Bangalore,Clay,Wheat,9.23,15.2,111.5,61.3,8.4,Evening,7734.6,Furrow Irrigation,Rice,Vermicompost,Seaweed Extract,6379.2
Tamil Nadu,Jaipur,Loamy,Tea,8.94,32.7,145.9,42.6,14.8,Night,4384.3,Drip Irrigation,Barley,Compost,Neem Cake,2849.5
Haryana,Chennai,Loamy,Sugarcane,6.0,39.9,200.5,57.0,11.0,Night,8509.1,Surface Irrigation,Wheat,Compost,Green Manure,5215.6
Madhya Pradesh,Lucknow,Sandy,Cotton,4.88,21.6,266.5,86.5,9.7,Morning,8281.4,Furrow Irrigation,Soybean,DAP,Seaweed Extract,1294.3
Punjab,Kolkata,Clay,Barley,8.61,25.1,238.9,70.3,11.4,Evening,8006.7,Surface Irrigation,Barley,Compost,Seaweed Extract,4442.2
Uttar Pradesh,Kolkata,Clay,Sugarcane,9.95,16.1,295.0,55.3,9.3,Night,2800.4,Sprinkler Irrigation,Maize,MOP,Cow Manure,2292.7
Rajasthan,Bhopal,Loamy,Soybean,2.87,32.6,68.1,43.8,7.2,Evening,8382.3,Drip Irrigation,Barley,DAP,Bone Meal,3419.5
Karnataka,Pune,Peaty,Rice,1.74,23.1,298.4,77.6,10.9,Morning,7602.3,Drip Irrigation,Soybean,Biofertilizer,Neem Cake,3156.6
Tamil Nadu,Bhopal,Silt,Pulses,1.45,32.0,278.8,66.9,12.1,Night,1162.3,Surface Irrigation,Groundnut,Vermicompost,Seaweed Extract,6587.2
Tamil Nadu,Kolkata,Saline,Pulses,8.87,21.9,225.4,44.5,7.2,Night,8308.0,Furrow Irrigation,Maize,Compost,Neem Cake,1366.7
Gujarat,Jaipur,Sandy,Rice,2.87,32.3,289.8,58.1,11.7,Morning,8137.1,Drip Irrigation,Sugarcane,Biofertilizer,Cow Manure,7862.1
Haryana,Kolkata,Peaty,Barley,5.14,19.9,207.0,53.6,12.5,Morning,3496.3,Sprinkler Irrigation,Tea,Vermicompost,Green Manure,5720.5
Karnataka,Kolkata,Sandy,Tea,1.09,39.7,153.1,79.3,8.8,Morning,8864.0,Surface Irrigation,Soybean,Compost,Bone Meal,6073.3
West Bengal,Bangalore,Sandy,Rice,5.44,16.8,212.3,49.7,6.2,Evening,3993.7,Surface Irrigation,Groundnut,Compost,Cow Manure,3632.1
Tamil Nadu,Chennai,Loamy,Groundnut,0.78,18.0,243.1,45.1,9.8,Evening,3637.2,Drip Irrigation,Barley,DAP,Bone Meal,6361.4
Uttar Pradesh,Rohtak,Clay,Tea,5.22,15.1,285.4,89.0,10.2,Evening,4317.4,Drip Irrigation,Sugarcane,Compost,Seaweed Extract,1242.5
Tamil Nadu,Bangalore,Saline,Tea,2.29,15.8,75.0,86.6,13.7,Evening,1271.8,Surface Irrigation,Groundnut,Compost,Cow Manure,7022.4
Maharashtra,Ahmedabad,Clay,Soybean,5.89,20.8,91.3,89.3,3.7,Morning,3618.7,Drip Irrigation,Soybean,DAP,Bone Meal,4506.3
Gujarat,Ahmedabad,Silt,Maize,9.81,29.5,92.2,48.3,8.1,Evening,5968.3,Furrow Irrigation,Wheat,Biofertilizer,Neem Cake,7491.7
Gujarat,Chennai,Silt,Barley,3.52,29.1,105.7,79.5,12.3,Morning,5336.5,Drip Irrigation,Barley,DAP,Neem Cake,3571.6
Tamil Nadu,Kolkata,Peaty,Soybean,0.9,30.4,61.3,87.6,12.7,Night,1151.6,Surface Irrigation,Maize,DAP,Cow Manure,7077.6
West Bengal,Pune,Silt,Pulses,1.4,39.6,98.3,74.0,3.4,Evening,4288.7,Furrow Irrigation,Barley,Biofertilizer,Neem Cake,3770.7
Karnataka,Rohtak,Sandy,Cotton,1.98,25.4,135.5,55.3,6.4,Morning,1156.1,Surface Irrigation,Pulses,DAP,Cow Manure,7916.5
Karnataka,Kolkata,Saline,Wheat,9.44,29.3,275.7,87.7,14.8,Evening,7588.9,Drip Irrigation,Sugarcane,Urea,Bone Meal,4352.2
Tamil Nadu,Bangalore,Clay,Soybean,4.79,22.5,64.6,52.3,6.4,Evening,4593.4,Furrow Irrigation,Pulses,Compost,Seaweed Extract,5243.4
Rajasthan,Jaipur,Saline,Rice,8.13,30.4,281.9,57.5,2.9,Night,3318.5,Furrow Irrigation,Wheat,Vermicompost,Seaweed Extract,7273.5
Rajasthan,Pune,Silt,Pulses,6.04,37.2,111.0,62.6,10.7,Morning,6679.4,Drip Irrigation,Pulses,DAP,Seaweed Extract,4753.6
Rajasthan,Chennai,Saline,Barley,5.36,33.7,247.7,71.2,3.0,Night,5688.7,Drip Irrigation,Maize,Biofertilizer,Seaweed Extract,7872.6
Gujarat,Lucknow,Loamy,Wheat,1.02,26.9,96.3,56.9,12.0,Morning,4754.9,Drip Irrigation,Groundnut,Compost,Bone Meal,7916.1
Punjab,Jaipur,Peaty,Groundnut,8.37,39.6,121.1,57.9,12.4,Evening,4090.6,Sprinkler Irrigation,Barley,DAP,Neem Cake,742.6
Haryana,Lucknow,Sandy,Wheat,7.4,36.9,115.3,88.7,4.3,Morning,6653.9,Furrow Irrigation,Pulses,DAP,Cow Manure,5216.2
Uttar Pradesh,Pune,Peaty,Maize,6.68,19.1,106.4,41.5,12.6,Evening,2694.6,Sprinkler Irrigation,Wheat,Vermicompost,Green Manure,5207.5
Haryana,Ludhiana,Sandy,Pulses,8.78,32.6,190.7,57.3,2.2,Morning,6383.0,Furrow Irrigation,Soybean,Vermicompost,Green Manure,5492.4
Rajasthan,Ludhiana,Peaty,Soybean,5.11,20.0,172.3,46.0,6.1,Morning,4314.9,Furrow Irrigation,Rice,Compost,Seaweed Extract,1595.6
Punjab,Chennai,Clay,Wheat,7.64,21.7,225.2,56.3,7.1,Evening,8144.1,Drip Irrigation,Tea,Biofertilizer,Seaweed Extract,4459.5
Haryana,Rohtak,Loamy,Barley,1.33,33.2,285.1,65.4,7.3,Evening,1273.3,Sprinkler Irrigation,Maize,Vermicompost,Seaweed Extract,4907.7
Rajasthan,Jaipur,Clay,Cotton,2.14,17.0,292.0,85.6,6.0,Night,6506.4,Furrow Irrigation,Pulses,DAP,Cow Manure,4819.8
Uttar Pradesh,Lucknow,Peaty,Rice,9.7,29.8,234.3,43.8,11.5,Morning,2080.0,Sprinkler Irrigation,Rice,Biofertilizer,Green Manure,4070.6
Karnataka,Bhopal,Loamy,Sugarcane,3.13,17.5,72.7,54.7,10.2,Night,7691.0,Drip Irrigation,Wheat,Biofertilizer,Green Manure,1564.3
Rajasthan,Kolkata,Sandy,Barley,9.1,30.3,292.4,60.5,5.9,Evening,8307.0,Drip Irrigation,Wheat,Vermicompost,Neem Cake,1423.6
Rajasthan,Lucknow,Peaty,Cotton,4.61,16.1,159.9,71.9,4.6,Morning,5429.2,Drip Irrigation,Pulses,DAP,Cow Manure,2912.3
Karnataka,Bangalore,Saline,Pulses,6.4,20.9,183.8,46.5,6.7,Night,7547.3,Surface Irrigation,Barley,Biofertilizer,Green Manure,4269.0
Haryana,Chennai,Clay,Groundnut,7.46,21.6,244.9,75.8,8.5,Night,3294.5,Furrow Irrigation,Cotton,DAP,Neem Cake,2590.2
Rajasthan,Lucknow,Silt,Rice,7.94,21.2,228.1,48.2,2.9,Morning,5440.5,Furrow Irrigation,Cotton,Compost,Bone Meal,2179.1
Karnataka,Bhopal,Peaty,Pulses,4.49,18.9,106.3,61.5,7.3,Morning,6836.1,Drip Irrigation,Wheat,DAP,Green Manure,7858.2
Maharashtra,Bangalore,Loamy,Rice,6.49,23.5,144.7,78.0,14.7,Morning,5160.1,Surface Irrigation,Barley,Urea,Bone Meal,6803.3
Rajasthan,Bhopal,Saline,Cotton,3.45,31.0,148.0,75.1,12.1,Evening,6876.0,Sprinkler Irrigation,Soybean,Vermicompost,Cow Manure,5912.6
Gujarat,Lucknow,Silt,Pulses,3.8,34.5,162.3,74.4,13.4,Night,6228.7,Sprinkler Irrigation,Pulses,Urea,Neem Cake,3348.1
Karnataka,Lucknow,Saline,Barley,0.68,27.2,233.5,83.8,6.6,Night,2521.8,Surface Irrigation,Wheat,DAP,Neem Cake,5458.2
Haryana,Pune,Peaty,Groundnut,6.8,25.0,157.3,82.2,8.7,Morning,1854.3,Furrow Irrigation,Tea,DAP,Cow Manure,914.6
Maharashtra,Ludhiana,Sandy,Tea,3.14,29.7,299.7,50.1,9.8,Morning,6450.3,Drip Irrigation,Wheat,Biofertilizer,Bone Meal,5036.0
Rajasthan,Kolkata,Clay,Soybean,7.88,36.3,122.7,48.9,13.9,Night,7284.6,Surface Irrigation,Wheat,DAP,Seaweed Extract,5767.1
Tamil Nadu,Chennai,Saline,Maize,6.13,16.8,248.4,87.3,13.8,Morning,4215.8,Surface Irrigation,Pulses,Urea,Seaweed Extract,6567.0
Haryana,Jaipur,Loamy,Sugarcane,9.61,21.2,68.4,85.9,8.0,Evening,5232.7,Surface Irrigation,Soybean,MOP,Neem Cake,7766.0
Gujarat,Chennai,Peaty,Maize,7.45,19.4,235.3,48.1,3.1,Night,3863.9,Surface Irrigation,Maize,Biofertilizer,Seaweed Extract,3104.1
Gujarat,Ludhiana,Silt,Rice,7.01,32.9,186.6,49.8,11.1,Evening,4090.2,Sprinkler Irrigation,Sugarcane,Compost,Green Manure,4532.1
Madhya Pradesh,Ahmedabad,Sandy,Wheat,4.83,28.5,115.0,65.0,7.5,Morning,1260.8,Furrow Irrigation,Wheat,DAP,Green Manure,4680.3
Madhya Pradesh,Lucknow,Loamy,Cotton,5.6,17.4,192.0,51.8,11.4,Evening,2647.9,Furrow Irrigation,Sugarcane,Compost,Neem Cake,1645.0
Karnataka,Bhopal,Clay,Cotton,6.92,15.8,242.0,70.9,13.8,Night,6942.7,Surface Irrigation,Tea,Vermicompost,Seaweed Extract,2910.2
Rajasthan,Lucknow,Saline,Tea,1.72,30.4,135.4,83.1,2.8,Night,4711.5,Sprinkler Irrigation,Pulses,DAP,Bone Meal,4521.5
Punjab,Pune,Loamy,Rice,8.4,16.9,257.3,54.7,3.3,Morning,2584.5,Furrow Irrigation,Tea,Biofertilizer,Bone Meal,7330.5
West Bengal,Bhopal,Clay,Sugarcane,9.21,18.6,265.1,50.8,11.8,Morning,5680.9,Sprinkler Irrigation,Rice,Compost,Bone Meal,6725.6
West Bengal,Ahmedabad,Peaty,Barley,2.82,19.9,120.8,73.4,3.6,Night,7249.7,Sprinkler Irrigation,Pulses,MOP,Neem Cake,4295.1
Tamil Nadu,Lucknow,Peaty,Barley,9.81,28.3,146.0,57.1,9.1,Morning,7953.3,Sprinkler Irrigation,Maize,Urea,Neem Cake,5472.4
Madhya Pradesh,Bangalore,Clay,Barley,1.09,32.9,285.4,40.8,3.4,Morning,4027.1,Furrow Irrigation,Sugarcane,Biofertilizer,Neem Cake,6805.8
Punjab,Pune,Sandy,Rice,9.64,18.8,63.1,74.9,7.4,Morning,3562.7,Furrow Irrigation,Barley,Vermicompost,Cow Manure,707.3
Punjab,Chennai,Peaty,Tea,8.45,25.9,234.1,59.2,12.5,Night,8962.9,Furrow Irrigation,Rice,Compost,Green Manure,1259.8
Uttar Pradesh,Ahmedabad,Sandy,Maize,1.53,32.6,270.9,76.3,15.0,Night,2693.9,Furrow Irrigation,Groundnut,Biofertilizer,Seaweed Extract,5635.2
Haryana,Jaipur,Saline,Soybean,5.33,34.4,236.8,65.3,5.7,Night,3716.3,Drip Irrigation,Tea,Vermicompost,Green Manure,3158.0
Punjab,Ludhiana,Peaty,Wheat,0.67,24.3,277.8,80.5,4.5,Night,9814.9,Sprinkler Irrigation,Cotton,Urea,Bone Meal,3659.6
Karnataka,Rohtak,Saline,Rice,2.92,25.2,172.2,60.5,7.3,Night,2572.1,Furrow Irrigation,Rice,Urea,Bone Meal,922.5
West Bengal,Ludhiana,Saline,Rice,3.83,39.1,96.9,40.9,8.5,Night,5204.8,Drip Irrigation,Barley,Compost,Cow Manure,4006.7
Maharashtra,Jaipur,Saline,Barley,8.57,27.3,190.3,62.4,8.2,Night,9252.1,Drip Irrigation,Barley,Urea,Seaweed Extract,3514.2
West Bengal,Ahmedabad,Clay,Rice,7.33,16.0,293.3,82.3,10.9,Evening,5797.0,Drip Irrigation,Maize,Urea,Green Manure,1393.2
Madhya Pradesh,Pune,Sandy,Groundnut,6.7,35.0,121.9,83.5,5.4,Evening,8532.6,Drip Irrigation,Tea,Compost,Neem Cake,5146.9
Tamil Nadu,Kolkata,Saline,Groundnut,1.35,35.8,125.3,44.7,5.6,Evening,8768.6,Surface Irrigation,Cotton,Compost,Cow Manure,1841.0
Punjab,Bangalore,Silt,Cotton,7.44,29.3,236.2,64.0,4.2,Evening,8695.9,Sprinkler Irrigation,Rice,DAP,Cow Manure,6706.9
Punjab,Ludhiana,Sandy,Groundnut,4.0,24.1,137.1,65.1,6.2,Night,5540.5,Surface Irrigation,Sugarcane,Urea,Seaweed Extract,3874.5
Karnataka,Chennai,Clay,Maize,1.03,37.5,222.6,42.4,3.1,Morning,4672.3,Furrow Irrigation,Maize,MOP,Cow Manure,2648.3
Punjab,Ahmedabad,Sandy,Barley,2.08,15.1,279.2,48.9,13.4,Evening,9801.5,Drip Irrigation,Barley,Compost,Cow Manure,7593.0
Madhya Pradesh,Pune,Loamy,Sugarcane,2.03,24.7,295.1,87.5,12.9,Evening,4092.9,Drip Irrigation,Groundnut,Compost,Neem Cake,5889.0
Madhya Pradesh,Pune,Peaty,Pulses,1.88,20.2,99.5,80.5,6.1,Morning,9254.8,Drip Irrigation,Tea,MOP,Seaweed Extract,7812.2
Haryana,Ludhiana,Silt,Tea,7.23,39.1,298.3,66.5,7.8,Morning,4626.1,Drip Irrigation,Sugarcane,Vermicompost,Neem Cake,1601.8
Haryana,Rohtak,Clay,Cotton,1.12,25.8,267.4,83.3,4.7,Evening,5701.5,Drip Irrigation,Soybean,Vermicompost,Bone Meal,583.7
Karnataka,Kolkata,Loamy,Soybean,4.51,29.8,190.6,51.1,9.1,Evening,8899.9,Furrow Irrigation,Rice,DAP,Bone Meal,4953.2
Punjab,Rohtak,Loamy,Sugarcane,6.3,29.8,122.9,70.2,9.8,Morning,5292.3,Sprinkler Irrigation,Groundnut,Compost,Seaweed Extract,4262.6
Rajasthan,Kolkata,Peaty,Sugarcane,3.18,16.9,277.1,86.0,13.7,Night,9886.4,Furrow Irrigation,Barley,Compost,Cow Manure,5071.3
Uttar Pradesh,Rohtak,Clay,Sugarcane,5.97,18.2,244.8,54.2,8.5,Evening,5964.1,Furrow Irrigation,Rice,DAP,Cow Manure,5495.9
Uttar Pradesh,Chennai,Sandy,Rice,7.17,35.6,213.8,72.1,13.4,Night,4394.7,Sprinkler Irrigation,Rice,Vermicompost,Seaweed Extract,3733.2
Karnataka,Lucknow,Clay,Soybean,4.1,38.9,108.4,78.4,12.8,Night,1827.7,Sprinkler Irrigation,Cotton,Biofertilizer,Bone Meal,6693.2
Tamil Nadu,Pune,Saline,Tea,6.13,36.1,207.0,88.9,3.6,Evening,7952.4,Furrow Irrigation,Wheat,DAP,Bone Meal,4936.8
Maharashtra,Lucknow,Sandy,Pulses,3.39,35.9,65.5,46.9,2.8,Evening,6637.6,Sprinkler Irrigation,Soybean,Vermicompost,Bone Meal,7360.8
Uttar Pradesh,Ahmedabad,Peaty,Rice,4.52,30.9,170.4,45.4,4.4,Night,6220.9,Drip Irrigation,Barley,Compost,Cow Manure,3587.1
Gujarat,Pune,Peaty,Wheat,5.41,26.9,250.0,75.8,14.6,Morning,5083.5,Furrow Irrigation,Pulses,Urea,Green Manure,7476.2
Punjab,Bangalore,Saline,Cotton,2.51,16.8,87.6,73.4,9.8,Night,7028.6,Sprinkler Irrigation,Maize,DAP,Seaweed Extract,2438.6
Punjab,Jaipur,Loamy,Groundnut,0.5,34.6,280.0,50.8,8.2,Night,4560.1,Drip Irrigation,Barley,Urea,Cow Manure,2531.2
Gujarat,Bhopal,Saline,Pulses,2.77,18.2,276.9,52.9,14.3,Evening,6136.5,Drip Irrigation,Barley,Biofertilizer,Neem Cake,1541.2
Gujarat,Pune,Peaty,Cotton,4.74,29.0,132.3,42.9,5.4,Night,8265.2,Drip Irrigation,Cotton,Vermicompost,Neem Cake,5596.8
Punjab,Bhopal,Peaty,Rice,2.63,22.0,116.7,80.8,6.8,Morning,6097.1,Surface Irrigation,Barley,Biofertilizer,Neem Cake,1168.7
Gujarat,Ludhiana,Loamy,Rice,0.75,32.6,284.7,68.1,8.7,Evening,9940.9,Sprinkler Irrigation,Pulses,Compost,Green Manure,7178.8
Rajasthan,Kolkata,Saline,Cotton,6.95,15.7,145.2,65.4,11.1,Night,2007.4,Sprinkler Irrigation,Groundnut,Compost,Neem Cake,1600.0
Punjab,Lucknow,Clay,Sugarcane,7.4,22.2,247.3,49.4,13.8,Evening,3118.6,Surface Irrigation,Pulses,Biofertilizer,Bone Meal,6738.3
Uttar Pradesh,Bhopal,Silt,Cotton,3.59,32.6,278.5,54.9,11.5,Night,2398.7,Furrow Irrigation,Cotton,Biofertilizer,Green Manure,4804.0
Tamil Nadu,Bhopal,Peaty,Wheat,1.09,28.0,150.2,62.8,5.0,Evening,2773.1,Drip Irrigation,Sugarcane,Compost,Cow Manure,5129.0
Punjab,Ahmedabad,Clay,Wheat,6.25,22.2,227.5,74.6,9.0,Morning,1952.0,Furrow Irrigation,Wheat,Urea,Seaweed Extract,2170.5
Karnataka,Ludhiana,Sandy,Sugarcane,1.99,33.9,51.6,77.6,9.4,Morning,8022.2,Sprinkler Irrigation,Cotton,Compost,Neem Cake,7397.5
Tamil Nadu,Chennai,Saline,Cotton,7.46,27.8,193.2,57.2,4.2,Evening,9436.8,Sprinkler Irrigation,Pulses,Biofertilizer,Cow Manure,1079.1
Madhya Pradesh,Jaipur,Clay,Cotton,3.86,28.8,142.1,59.7,8.3,Evening,4435.1,Drip Irrigation,Tea,MOP,Green Manure,2317.5
West Bengal,Bhopal,Peaty,Cotton,6.06,27.1,201.4,47.0,12.2,Morning,3521.7,Sprinkler Irrigation,Wheat,Biofertilizer,Neem Cake,524.0
Gujarat,Bhopal,Clay,Pulses,5.42,34.7,238.6,86.3,8.3,Morning,4688.4,Surface Irrigation,Soybean,Urea,Neem Cake,2107.5
Madhya Pradesh,Chennai,Peaty,Barley,7.0,33.5,202.9,76.1,13.0,Evening,1665.1,Drip Irrigation,Soybean,MOP,Cow Manure,1297.7
Punjab,Kolkata,Saline,Wheat,3.73,27.4,196.3,56.7,12.6,Morning,1726.0,Surface Irrigation,Rice,MOP,Seaweed Extract,2156.9
Karnataka,Ahmedabad,Sandy,Wheat,7.2,37.4,128.5,89.8,14.2,Night,6280.1,Drip Irrigation,Barley,Biofertilizer,Bone Meal,3812.6
Gujarat,Kolkata,Sandy,Soybean,1.15,17.6,87.9,40.7,7.9,Evening,8417.4,Sprinkler Irrigation,Pulses,Biofertilizer,Cow Manure,2500.2
Karnataka,Ludhiana,Loamy,Sugarcane,1.21,28.4,81.9,78.4,8.3,Evening,2574.6,Drip Irrigation,Soybean,Biofertilizer,Seaweed Extract,3795.5
Karnataka,Jaipur,Silt,Pulses,4.96,26.4,244.2,58.5,7.2,Night,4258.7,Furrow Irrigation,Groundnut,Vermicompost,Bone Meal,6357.7
Karnataka,Rohtak,Sandy,Cotton,9.49,32.4,162.1,86.5,13.2,Night,1279.6,Drip Irrigation,Pulses,Vermicompost,Neem Cake,3744.7
Rajasthan,Kolkata,Clay,Barley,5.39,27.1,115.8,49.2,10.0,Morning,6904.5,Furrow Irrigation,Rice,DAP,Cow Manure,4409.4
Punjab,Kolkata,Silt,Soybean,3.56,16.9,192.6,73.3,5.3,Morning,8368.5,Surface Irrigation,Barley,Urea,Green Manure,5149.7
Maharashtra,Ahmedabad,Clay,Maize,8.7,25.5,70.0,81.3,12.7,Night,1244.1,Drip Irrigation,Cotton,Biofertilizer,Cow Manure,6583.7
Maharashtra,Bangalore,Saline,Pulses,6.31,37.4,140.1,49.6,3.4,Evening,3120.6,Sprinkler Irrigation,Pulses,Vermicompost,Neem Cake,2255.0
Uttar Pradesh,Bhopal,Clay,Soybean,9.01,31.5,170.6,82.4,3.4,Evening,2944.3,Sprinkler Irrigation,Rice,Urea,Green Manure,5983.3
Punjab,Pune,Saline,Tea,2.89,36.3,94.6,50.4,8.1,Night,4675.2,Drip Irrigation,Rice,Vermicompost,Green Manure,4591.5
Karnataka,Ahmedabad,Peaty,Cotton,5.06,40.0,220.8,73.2,12.7,Morning,2771.4,Sprinkler Irrigation,Pulses,DAP,Green Manure,1628.6
Punjab,Bhopal,Clay,Rice,9.22,17.5,246.6,66.3,2.3,Night,6693.8,Sprinkler Irrigation,Sugarcane,Biofertilizer,Neem Cake,2096.1
Karnataka,Lucknow,Loamy,Pulses,8.56,16.4,264.4,72.5,2.6,Evening,1850.6,Drip Irrigation,Wheat,Biofertilizer,Cow Manure,1756.5
Madhya Pradesh,Kolkata,Silt,Sugarcane,7.64,32.0,57.6,66.5,8.4,Morning,7637.2,Furrow Irrigation,Groundnut,Urea,Seaweed Extract,4672.1
Karnataka,Chennai,Peaty,Maize,1.56,19.3,263.2,46.3,12.8,Evening,4599.9,Furrow Irrigation,Barley,MOP,Green Manure,2180.9
Maharashtra,Lucknow,Silt,Sugarcane,9.94,36.1,162.8,89.8,7.2,Morning,1953.1,Furrow Irrigation,Groundnut,Biofertilizer,Cow Manure,4519.2
West Bengal,Bhopal,Sandy,Tea,5.3,35.3,145.8,53.5,6.0,Evening,3566.0,Surface Irrigation,Barley,Biofertilizer,Bone Meal,7487.3
Madhya Pradesh,Pune,Loamy,Groundnut,1.24,16.4,218.3,81.2,14.1,Evening,9736.3,Drip Irrigation,Pulses,Compost,Bone Meal,5135.4
Uttar Pradesh,Bhopal,Peaty,Soybean,8.03,37.4,198.4,75.3,10.5,Morning,9190.9,Sprinkler Irrigation,Maize,Vermicompost,Cow Manure,4928.6
Maharashtra,Ludhiana,Clay,Wheat,8.74,25.1,288.8,85.0,5.4,Night,2538.7,Sprinkler Irrigation,Groundnut,Compost,Seaweed Extract,3525.9
Tamil Nadu,Kolkata,Loamy,Wheat,5.52,29.8,183.7,83.0,7.9,Evening,8450.4,Surface Irrigation,Cotton,Compost,Cow Manure,5963.2
West Bengal,Lucknow,Saline,Barley,2.71,30.6,139.7,80.8,11.5,Evening,8244.0,Furrow Irrigation,Cotton,Compost,Seaweed Extract,5411.8
Gujarat,Pune,Peaty,Barley,2.28,32.7,112.5,60.2,8.2,Morning,5870.2,Surface Irrigation,Groundnut,DAP,Green Manure,579.5
Haryana,Chennai,Saline,Soybean,4.65,32.7,111.2,88.0,12.0,Evening,9165.0,Furrow Irrigation,Pulses,Urea,Cow Manure,4022.3
Maharashtra,Ahmedabad,Saline,Sugarcane,9.33,36.5,241.2,49.2,5.6,Night,7383.0,Furrow Irrigation,Barley,MOP,Seaweed Extract,6286.2
Tamil Nadu,Jaipur,Sandy,Barley,7.08,28.6,213.1,79.6,13.9,Morning,4989.1,Surface Irrigation,Sugarcane,Compost,Cow Manure,5070.5
Uttar Pradesh,Bhopal,Clay,Cotton,1.79,26.2,98.4,68.8,12.4,Morning,2805.9,Surface Irrigation,Soybean,Urea,Neem Cake,2231.9
Rajasthan,Kolkata,Loamy,Barley,2.63,35.7,76.8,58.6,6.0,Night,9053.9,Sprinkler Irrigation,Cotton,DAP,Bone Meal,5017.2
Haryana,Kolkata,Sandy,Pulses,7.66,38.6,116.0,88.0,14.8,Night,5924.2,Sprinkler Irrigation,Groundnut,DAP,Green Manure,4271.0
Gujarat,Jaipur,Loamy,Cotton,4.08,22.3,109.9,43.0,14.2,Night,1063.1,Furrow Irrigation,Sugarcane,Urea,Cow Manure,3753.6
West Bengal,Jaipur,Peaty,Cotton,5.61,27.4,104.8,42.4,13.1,Morning,5916.8,Drip Irrigation,Barley,Compost,Green Manure,1864.2
Haryana,Chennai,Clay,Maize,7.41,25.1,263.1,78.2,4.1,Evening,9487.0,Surface Irrigation,Sugarcane,MOP,Green Manure,3774.9
Karnataka,Bangalore,Peaty,Rice,6.89,19.1,242.7,41.2,9.2,Evening,2769.0,Surface Irrigation,Rice,Compost,Cow Manure,3041.7
Madhya Pradesh,Kolkata,Peaty,Cotton,1.07,35.4,299.8,88.9,2.3,Morning,1027.9,Sprinkler Irrigation,Wheat,Biofertilizer,Neem Cake,7787.7
Maharashtra,Bhopal,Peaty,Maize,7.97,32.0,94.9,45.8,14.8,Night,8542.5,Drip Irrigation,Cotton,Vermicompost,Neem Cake,4787.3
Haryana,Chennai,Saline,Sugarcane,0.8,24.5,80.3,51.4,12.0,Evening,7202.6,Sprinkler Irrigation,Rice,MOP,Seaweed Extract,3005.4
Punjab,Bhopal,Loamy,Maize,4.61,23.5,209.0,56.8,2.8,Morning,2140.7,Furrow Irrigation,Tea,Urea,Cow Manure,780.8
Karnataka,Ludhiana,Sandy,Barley,3.53,39.8,260.1,47.6,6.4,Evening,4022.4,Sprinkler Irrigation,Soybean,MOP,Cow Manure,5720.9
West Bengal,Ahmedabad,Peaty,Pulses,1.52,35.4,293.3,65.7,2.1,Evening,9327.9,Sprinkler Irrigation,Pulses,Vermicompost,Cow Manure,2440.8
Rajasthan,Lucknow,Loamy,Cotton,2.07,36.9,61.8,58.7,7.4,Night,5845.1,Drip Irrigation,Tea,DAP,Cow Manure,5189.7
Punjab,Pune,Loamy,Barley,4.92,34.4,95.4,87.1,6.0,Evening,8970.9,Drip Irrigation,Sugarcane,MOP,Bone Meal,7926.1
Maharashtra,Kolkata,Saline,Soybean,8.71,26.7,205.2,76.2,5.9,Night,3945.3,Sprinkler Irrigation,Groundnut,DAP,Cow Manure,6713.6
Rajasthan,Pune,Silt,Wheat,9.1,39.9,59.6,90.0,10.4,Morning,3096.7,Surface Irrigation,Groundnut,Biofertilizer,Green Manure,6975.1
West Bengal,Pune,Clay,Cotton,3.66,33.8,72.8,46.9,9.1,Night,1832.8,Furrow Irrigation,Tea,Biofertilizer,Neem Cake,7764.1
